Year,Area (Hectare),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL,Production (Tonnes)
 1997-98,35600,2.12,43.9,44.6,43.2,99.6,125.1,218.9,797,75400
 1998-99,38300,2.53,61.3,39,139.2,191.8,138.1,221.1,881.4,96800
 1999-00,37991,2.77,147,44.1,75.6,60.6,97.5,146.8,643.7,105082
 2000-01,39905,2.95,74.7,76.7,72.5,185.4,118.1,176,767.3,117680
 2001-02,32878,2.91,28.4,50.8,55.8,73.1,127.7,155.6,579.3,95609
 2002-03,29066,2.28,120.9,100.9,26.6,57.4,50.5,155.4,540,66329
 2003-04,17515,2.56,28.4,50.8,55.8,73.1,50.5,78.3,364.2,44891
 2004-05,24335,3.5,124.2,11.9,105.5,22,158.5,78.3,564.5,85051
 2005-06,25008,2.8,79,52,135.8,134.5,142.9,181.9,819.7,69972
 2006-07,22349,3.02,86.8,81.1,27.3,11.4,80.4,67.5,494.6,67427
 2007-08,30000,3.17,13,171.4,63.1,119.9,182.6,115,689.9,95000
 2008-09,30306,3.12,63,61.7,108,124.2,193.7,130.3,867.1,94615
 2009-10,32226,3.15,77.5,50.8,10.2,100.9,203.1,64,585.3,101512
 2010-11,34973,2.92,106.2,75.1,109,172.6,75,76.4,853.8,102007
 2011-12,37720,2.51,24,19.7,23.9,65.2,20.6,65.4,508.8,94531
 2012-13,22000,2.64,28.3,16,82.4,113.4,80.2,72.6,536,58000
 2013-14,28114,2.11,33,49.5,36.3,38.4,226.8,85.6,501.7,59377
 2014-15,22658,3.01,69.6,60,36.3,71.2,46,107.5,437.8,68155
 2015-16,20033,3.05,70.4,64.2,19.1,95.3,153.3,96,709,61012
 2016-17,17983,2.45,94.8,96.9,108,12.7,43.8,5.3,394.2,44138
