Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,214100,429300,2.01,3.5,59.6,243.9,140.8,404.5,90.6,1199.9
 1998-99,256300,386600,1.51,16.4,100.6,199.4,176.5,237.2,267.9,1169.2
 1999-00,244655,628606,2.57,51,113.9,154.6,162.1,127.8,157.9,774.7
 2000-01,253966,683423,2.69,57.9,329.3,203.9,354.4,149.9,105,1264.8
 2001-02,220811,579850,2.63,84.5,112.2,84,265.6,150.5,186.7,1012.9
 2002-03,194809,551115,2.83,23.3,98,86.5,238.6,45.7,197.6,788.4
 2003-04,234673,762453,3.25,84.5,112.2,84,265.6,150.5,186.7,1054
 2004-05,224521,743614,3.31,60.4,154.4,208.6,216.4,155.3,147,983.3
 2005-06,217411,348727,1.6,25.3,115.8,179.7,103.6,545.6,362,1427.8
 2006-07,227930,547716,2.4,66.4,98.4,107,288.8,229.9,277.8,1184
 2007-08,242000,715000,2.95,26.1,221.8,163.6,182.6,348.5,167.6,1147.7
 2008-09,240231,716609,2.98,50.1,179.3,212.1,280,96.6,75.7,1123.5
 2009-10,202153,616567,3.05,43.8,22.4,173,125.3,120.1,59.4,607.7
 2010-11,237640,457704,1.93,174.7,167.9,350.4,247.7,170.6,242.4,1908.8
 2011-12,197445,589741,2.99,87,82.8,166.1,122.4,109.1,58.4,855
 2012-13,232000,356000,1.53,34.6,87.2,256.2,292.9,297.8,139,1445.3
 2013-14,235159,434104,1.85,25.7,93.1,163.4,72.3,143.9,495.8,1120.2
 2014-15,226072,681833,3.02,119.9,18.1,154.4,100.5,124.3,89.5,635.7
 2015-16,227836,696471,3.06,23.8,323,138.6,195.7,168.4,85.6,1099
 2016-17,220489,737644,3.35,143.6,236.5,221,138.3,265.8,67.9,1091.4
