Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,295000,845300,2.87,8.5,46,122.2,100.9,207.9,136,926.5
 1998-99,298400,921400,3.09,15.7,42.7,119.2,148.5,133.6,282.9,828.5
 1999-00,302886,969414,3.2,63.5,58,100.2,89.4,99.8,114.1,547
 2000-01,292899,987363,3.37,67.8,176.8,118.5,271,99.6,73.1,870.5
 2001-02,272468,935110,3.43,52.7,103.8,57.8,147.9,107.4,228.6,793.4
 2002-03,202953,646811,3.19,45.4,70.6,44.4,143.1,50.8,211.3,658.9
 2003-04,170487,482990,2.83,8.5,46,122.2,100.9,207.9,136,914.1
 2004-05,240404,833961,3.47,61.4,102.9,192.2,47.5,183.7,132.8,759.5
 2005-06,288879,892636,3.09,63.3,22.2,236,76.2,277.9,237.4,952.7
 2006-07,288638,783941,2.72,63.6,86.5,52.6,78.9,148,238.8,852.6
 2007-08,283000,976000,3.45,32.8,243.6,167.3,157.7,222.5,115.7,1008.6
 2008-09,281491,959321,3.41,2.5,95,178.7,297.5,78.8,39.3,964.5
 2009-10,190526,683226,3.59,55,33.2,27.1,227,142.5,64.8,643.6
 2010-11,271072,649760,2.4,165.3,124.2,349,229.5,233.9,141.7,1485.1
 2011-12,281790,1080921,3.84,17.4,23.5,117.9,137.2,36.7,45.6,665.3
 2012-13,175000,608000,3.47,21.7,109.8,159.7,147.8,172.9,133.9,1012.7
 2013-14,280060,912716,3.26,32.4,115.4,151.2,177.4,163.6,358.8,1161.5
 2014-15,255607,1000190,3.91,65.2,19.1,130.5,116.9,144.7,149.6,681.4
 2015-16,160608,465820,2.9,17.3,183.3,93.5,144.9,142.4,31.8,713.6
 2016-17,163747,685336,4.19,112.8,199.6,87.5,194.1,289.9,71.5,965.3
