Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,103000,287900,2.8,11.5,39,240.1,197.9,134.1,86,858.9
 1998-99,135000,413100,3.06,16.6,62.6,267.9,295.7,183.7,178.4,1076.1
 1999-00,140930,435474,3.09,55.7,68.2,206.6,215.8,171.4,66.7,791.7
 2000-01,162729,508854,3.13,44.8,231.4,214.9,472.4,70.1,33.4,1094.9
 2001-02,141154,429108,3.04,16.4,241,123.2,276,104.8,140,986.4
 2002-03,133365,345015,2.59,38.6,196.2,108.1,244.3,72.4,68.8,785.3
 2003-04,122858,395726,3.22,66.1,84.9,169.3,195.1,122.5,12.1,723.4
 2004-05,65453,147989,2.26,30.4,57.8,249.4,151.3,116.2,80.7,871.3
 2005-06,146979,501639,3.41,24.8,188.5,463.7,189.3,373.5,213.7,1644.6
 2006-07,166750,521094,3.13,27.5,93.9,182.2,450.8,503.8,15.6,1511
 2007-08,130000,441000,3.39,33.2,183.8,128.3,225.9,312.2,36.2,946.5
 2008-09,160406,543135,3.39,8.1,131.9,184.2,302.7,150.3,11.5,897.6
 2009-10,84886,274182,3.23,25.7,78.1,137.8,132.1,138.1,65.7,642.6
 2010-11,159548,523465,3.28,15.2,80.3,462.5,371.2,308.5,135.9,1454.4
 2011-12,185727,601858,3.24,11,63.1,136.2,79.2,30.6,8.8,746.9
 2012-13,178000,626000,3.52,3,89.6,364,267.8,197.8,68.6,1046.5
 2013-14,209454,732042,3.5,18,255.6,497.6,188.2,131.8,260.4,1127.7
 2014-15,179282,632136,3.53,66.1,84.9,169.3,195.1,122.5,12.1,733.1
 2015-16,116345,381263,3.28,16.2,209.6,92.2,142.5,212.5,13.3,811
