Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,121100,251900,2.08,8.6,50.6,229.5,156.1,287.2,79.2,976.6
 1998-99,160700,439400,2.73,18.9,82.9,211.2,208,184.8,247.7,1045.1
 1999-00,166514,373491,2.24,67.1,88.7,176.6,185.8,133,90.7,748.8
 2000-01,172538,470856,2.73,65.7,303.5,197.5,419.5,109.1,69.2,1214.2
 2001-02,98756,254988,2.58,66.3,185.6,88.8,266.2,116.4,145.6,940.3
 2002-03,98920,169054,1.71,38.5,136.3,94.7,232.4,47.7,129.3,722.5
 2003-04,130159,377591,2.9,31.6,107.2,291.3,433.5,111.4,79.2,1193.1
 2004-05,136374,387848,2.84,31.6,107.2,291.3,433.5,111.4,79.2,1112.7
 2005-06,159480,410342,2.57,11.5,83.7,415.2,203.1,607.5,159.3,1551.1
 2006-07,155691,383000,2.46,57.5,145.1,196.3,482.3,375.7,36,1393.4
 2007-08,146000,450000,3.08,8.9,174.1,220,332.9,289.1,142.6,1203
 2008-09,158279,477686,3.02,15.9,244.2,318.5,529.6,195.6,62.9,1583.8
 2009-10,48475,109408,2.26,68.3,36.4,185.2,172.1,144.2,81.4,734.1
 2010-11,167037,522924,3.13,134.2,153.6,615,304.6,303.6,120,1803.7
 2011-12,150051,366113,2.44,45.3,41.4,94,130.1,76.6,28.4,1060.8
 2012-13,136000,421000,3.1,39,170.7,372.5,356.3,262.1,106.4,1521.1
 2013-14,148142,432575,2.92,11.7,199.3,503.9,298.4,170,231.4,252
 2014-15,110439,328435,2.97,76.9,23.9,229.3,183.3,179.6,90.6,819.6
 2015-16,109579,337054,3.08,31.3,398.1,98.2,193.5,198.1,14.3,997.3
 2016-17,37999,135788,3.57,48.1,319.8,199,156.7,288.7,101.6,1131.7
