Year,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 1997-98,257900,699400,2.71,5.4,54.2,181.5,119.1,351.1,113.1,1095.6
 1998-99,280800,759900,2.71,7.2,67.1,143.3,167.4,179.7,266.2,916.8
 1999-00,278415,834490,3,64.6,68.9,141,89.1,106.4,122.6,603.9
 2000-01,281343,868787,3.09,78.5,260.7,166.5,346.1,125.5,61.2,1099.2
 2001-02,245114,714507,2.91,88.5,115.6,69.1,203.1,120.6,199.4,892.3
 2002-03,243910,761243,3.12,38.3,85.4,51.9,182.8,41.6,216.3,711.715
 2003-04,222367,526565,2.37,102,111.7,203.3,138.1,153.4,143.3,886.9
 2004-05,245306,804849,3.28,102,111.7,203.3,138.1,153.4,143.3,886.9
 2005-06,254919,697203,2.73,64.3,63.7,291.4,100.3,343.6,259.7,1159.5
 2006-07,251433,521221,2.07,54.6,132.1,75.9,168,223.2,386,1267.3
 2007-08,261000,944000,3.62,10.6,213.6,170.3,178.9,220.6,155.1,979.9
 2008-09,273878,959395,3.5,2.3,146.9,241.9,417,117.9,53,1303.9
 2009-10,228196,784310,3.44,105.1,36.1,87.2,175.7,154.8,75.6,736.1
 2010-11,260350,722978,2.78,202.3,131.7,373.1,296.2,318.1,201.8,1805.2
 2011-12,262826,980105,3.73,4.6,18.6,96.8,113.4,49.7,64.4,1805.2
 2012-13,253000,908000,3.59,66.5,142.9,264.5,301.3,216.4,185.4,1509.6
 2013-14,264371,773285,2.92,27.5,148,249,152.7,143.6,376.8,1317.3
 2014-15,235212,788901,3.35,89.1,24.3,143.3,99.2,109.3,115.2,622.9
 2015-16,210818,707083,3.35,23.4,282,109,183.2,141.7,66.8,944.8
 2016-17,215895,833499,3.86,118.7,312.4,112.9,174.4,201.2,76,1016.9
