District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 SPSR NELLORE, 1997-98,Kharif     ,48700,127600,2.62,10.7,59.9,45.835,84.9,87.3,182.2,1026.6
 SPSR NELLORE, 1998-99,Kharif     ,44700,133400,2.98,43.4,24.1,101,136.1,84.7,181.2,806.2
 SPSR NELLORE, 1999-00,Kharif     ,45768,136695,2.99,42.7,71.7,57.1,125,114.8,145.3,662.4
 SPSR NELLORE, 2000-01,Kharif     ,55041,171563,3.12,44,91.7,93.8,150.5,124.9,163.8,792.8
 SPSR NELLORE, 2001-02,Kharif     ,34297,108413,3.16,18.5,62.8,77,79.4,141.5,274.6,843.2
 SPSR NELLORE, 2002-03,Kharif     ,45511,149276,3.28,60.7,38.6,43.2,119.7,96.2,214.8,746.8
 SPSR NELLORE, 2003-04,Kharif     ,17885,49756,2.78,,,,,,,
 SPSR NELLORE, 2004-05,Kharif     ,19326,56432,2.92,204.8,19.1,110.4,22.5,201.4,380.3,1163.4
 SPSR NELLORE, 2005-06,Kharif     ,18036,55190,3.06,63.7,39.7,75.1,78.2,71.8,604.8,1550.5
 SPSR NELLORE, 2006-07,Kharif     ,60057,197167,3.28,27.4,67.3,27.4,43.1,85.8,217.6,862.7
 SPSR NELLORE, 2007-08,Kharif     ,46000,162000,3.52,21.6,138.1,92.4,180.9,94.2,556.7,1285.8
 SPSR NELLORE, 2008-09,Kharif     ,65233,233795,3.58,2.1,20.3,80.6,123.4,55.4,262.6,1102.3
 SPSR NELLORE, 2009-10,Kharif     ,67894,220248,3.24,28.5,33.2,40.3,111.6,66.9,49.6,905.6
 SPSR NELLORE, 2010-11,Kharif     ,69873,228485,3.27,108.3,112.5,116.3,203.7,109.4,244.7,1416.2
 SPSR NELLORE, 2011-12,Kharif     ,53137,195269,3.67,1.9,5.8,22,50,32.5,101.1,
 SPSR NELLORE, 2012-13,Kharif     ,54000,214000,3.96,7.6,38,140.1,101.6,102.9,225.4,911
 SPSR NELLORE, 2013-14,Kharif     ,32241,115455,3.58,18.4,30.9,116.2,84.2,80,184.7,871.8
 SPSR NELLORE, 2014-15,Kharif     ,62232,232561,3.74,22.5,42.5,62,122.9,70.9,157.1,705.3
 SPSR NELLORE, 2015-16,Kharif     ,30413,110683,3.64,29.9,59,28.9,149.4,112.4,69.6,1385.3
 SPSR NELLORE, 2016-17,Kharif     ,73827,287991,3.9,123.4,88.5,67.8,24.8,61.7,29,593.9
