District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 NIZAMABAD, 1997-98,Kharif     ,81600,135100,1.66,11.3,62.6,209,218.1,90.4,80.6,853.9
 NIZAMABAD, 1998-99,Kharif     ,108400,308000,2.84,9.1,61.5,243.2,302.3,307.9,185.1,1150.7
 NIZAMABAD, 1999-00,Kharif     ,115922,295946,2.55,81.4,92.5,194.9,191.3,217.6,81.2,872.8
 NIZAMABAD, 2000-01,Kharif     ,130502,333694,2.56,40.8,227.3,188.8,469.3,65.7,17.2,1031.1
 NIZAMABAD, 2001-02,Kharif     ,122016,303088,2.48,6,233.9,61.8,250.6,85.3,110,823.4
 NIZAMABAD, 2002-03,Kharif     ,89863,140096,1.56,29.7,214.3,73.8,245.6,105.4,87.2,798.6
 NIZAMABAD, 2003-04,Kharif     ,73668,229181,3.11,,,,,,,831.4
 NIZAMABAD, 2004-05,Kharif     ,60268,135422,2.25,56.4,55.9,300.5,105.7,136.6,39.1,733.1
 NIZAMABAD, 2005-06,Kharif     ,98831,344130,3.48,0.1,94,423.8,182.4,284.3,101.7,1197.8
 NIZAMABAD, 2006-07,Kharif     ,114358,361714,3.16,45.3,124.8,200.2,361.1,194.9,46,1066.6
 NIZAMABAD, 2007-08,Kharif     ,71000,254000,3.58,2,161.6,199.6,221.7,289.3,20.2,917.6
 NIZAMABAD, 2008-09,Kharif     ,111687,407769,3.65,2,122,212.8,343.6,166.7,11.6,959.3
 NIZAMABAD, 2009-10,Kharif     ,75732,245978,3.25,15.7,78.7,173.9,188.3,155.5,48,689.7
 NIZAMABAD, 2010-11,Kharif     ,116729,427496,3.66,0.5,104.1,299.2,303.8,245.4,157.5,1192.7
 NIZAMABAD, 2011-12,Kharif     ,149497,584000,3.91,18,111,223.1,237.4,80.9,11.4,962.9
 NIZAMABAD, 2012-13,Kharif     ,129000,516000,4,1.5,133.8,214.8,216,153.9,90.1,845.4
 NIZAMABAD, 2013-14,Kharif     ,152303,622200,4.09,4.5,254.2,549.1,173.8,117.9,136.2,1341.7
 NIZAMABAD, 2014-15,Kharif     ,112427,404400,3.6,49.9,57.2,127.2,188.8,67.6,15.4,646.7
 NIZAMABAD, 2015-16,Kharif     ,80451,208770,2.59,25.6,155.5,63.4,158.2,92,27.3,661.3
 NIZAMABAD, 2016-17,Kharif     ,86923,342824,3.94,37.8,207.5,297.2,152.2,503.2,95.4,1317.8
