District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 PRAKASAM, 1997-98,Kharif     ,62000,124300,2,12.2,46.5,75.6,89.8,99.6,153,809
 PRAKASAM, 1998-99,Kharif     ,72100,206700,2.87,28.7,28,108.1,141,98,246.7,750.1
 PRAKASAM, 1999-00,Kharif     ,70189,190583,2.72,61.2,57.6,72.1,98.6,100.7,106.4,537.7
 PRAKASAM, 2000-01,Kharif     ,50601,156559,3.09,55.7,117.9,91.1,208.6,91.6,100,729.5
 PRAKASAM, 2001-02,Kharif     ,40841,134204,3.29,20,89,58.5,105.6,109.3,237.4,714.3
 PRAKASAM, 2002-03,Kharif     ,19256,46927,2.44,55.6,60.2,41.3,117,66.6,187.9,616
 PRAKASAM, 2003-04,Kharif     ,14621,41992,2.87,,,,,,,641
 PRAKASAM, 2004-05,Kharif     ,27435,95446,3.48,140.7,16.1,87.7,33.3,191.2,164.6,757.8
 PRAKASAM, 2005-06,Kharif     ,54390,144351,2.65,44.9,24.4,108.9,60.4,129.1,504.6,958.8
 PRAKASAM, 2006-07,Kharif     ,41191,124809,3.03,46.6,80.9,24.7,42.7,149.2,232.1,869
 PRAKASAM, 2007-08,Kharif     ,47000,173000,3.68,54,285.2,76.8,141,123.1,161,899.8
 PRAKASAM, 2008-09,Kharif     ,47434,167774,3.54,5.8,15.6,96.9,103.3,79.5,107.7,937.7
 PRAKASAM, 2009-10,Kharif     ,32959,117730,3.57,40.6,49.3,22.6,98.8,126.5,50.3,635.1
 PRAKASAM, 2010-11,Kharif     ,48878,143300,2.93,265.4,106.9,170.3,205.1,131.7,163.4,1403
 PRAKASAM, 2011-12,Kharif     ,39122,134932,3.45,11.7,33.8,68.7,115.5,50.8,142.2,570
 PRAKASAM, 2012-13,Kharif     ,18000,64000,3.56,32.9,53.9,130.7,91.4,105.6,216.4,886.4
 PRAKASAM, 2013-14,Kharif     ,58034,213391,3.68,22.3,72.6,128.8,156.2,144.6,346.8,986.2
 PRAKASAM, 2014-15,Kharif     ,31764,121783,3.83,25.6,15.1,102.3,67.2,78,103.1,497.1
 PRAKASAM, 2015-16,Kharif     ,14187,61438,4.33,14.5,79.3,53.6,129.3,122.8,57.9,634
 PRAKASAM, 2016-17,Kharif     ,19297,64177,3.33,58.7,100.4,59.8,91.6,147,14.3,549.4
