District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 RANGAREDDI, 1997-98,Kharif     ,24000,48900,2.04,18,44.4,186.2,191,86.7,100.9,756.3
 RANGAREDDI, 1998-99,Kharif     ,30200,55300,1.83,18.7,54.6,217.5,281.5,165,231.2,984.9
 RANGAREDDI, 1999-00,Kharif     ,34109,79167,2.32,92.9,52.7,159.2,130.8,125.7,59.9,631.2
 RANGAREDDI, 2000-01,Kharif     ,39103,100573,2.57,69.2,214.6,137.5,474.5,81.8,33.2,1038.6
 RANGAREDDI, 2001-02,Kharif     ,25102,66520,2.65,3.2,207.8,53.5,226.2,102.8,144.3,789.6
 RANGAREDDI, 2002-03,Kharif     ,20618,36844,1.79,58.2,163.5,67,196.3,46.9,106,661.1
 RANGAREDDI, 2003-04,Kharif     ,21939,50942,2.32,,,,,,,801.7
 RANGAREDDI, 2004-05,Kharif     ,19504,50574,2.59,47,34.4,233.7,80.7,148.1,103.7,729.1
 RANGAREDDI, 2005-06,Kharif     ,23600,65726,2.79,29.6,96,332.5,130.1,274.2,162.3,1101.3
 RANGAREDDI, 2006-07,Kharif     ,20010,54747,2.74,95.6,80.7,126,154.3,172.1,24.4,776.8
 RANGAREDDI, 2007-08,Kharif     ,19000,46000,2.42,29.9,140.1,41.6,182.9,190.2,35,664.4
 RANGAREDDI, 2008-09,Kharif     ,19183,56398,2.94,8.7,74.1,97.1,316.3,140.2,36,884.1
 RANGAREDDI, 2009-10,Kharif     ,20022,52157,2.6,20.2,89.9,67,299.8,151.5,77.1,778.8
 RANGAREDDI, 2010-11,Kharif     ,30985,78837,2.54,21.2,162.2,272.4,286.6,205.4,99.4,1110.4
 RANGAREDDI, 2011-12,Kharif     ,29334,67684,2.31,,,,,,,516.1
 RANGAREDDI, 2012-13,Kharif     ,29000,68000,2.34,12.1,148.8,208.1,148.7,110.5,89.9,788.9
 RANGAREDDI, 2013-14,Kharif     ,27054,62711,2.32,17,107.7,220.8,136.6,186,215.5,971.8
 RANGAREDDI, 2014-15,Kharif     ,23817,60376,2.53,79.2,43.3,90.4,197,83.7,37.1,600.5
 RANGAREDDI, 2015-16,Kharif     ,17116,44399,2.59,19.3,107.1,46.3,120.9,110.8,21,550.3
 RANGAREDDI, 2016-17,Kharif     ,10508,27636,2.63,80.6,137.1,168.2,129.6,351.1,32.1,908.4
