District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 SRIKAKULAM, 1997-98,Kharif     ,185700,278500,1.5,6.8,57.1,207.1,144.5,197.3,77,889.6
 SRIKAKULAM, 1998-99,Kharif     ,194400,370700,1.91,40.3,114.5,210.7,160.2,261,272.8,1302.8
 SRIKAKULAM, 1999-00,Kharif     ,189027,323525,1.71,78,140.2,65,212.7,109.2,167.4,792.5
 SRIKAKULAM, 2000-01,Kharif     ,207461,399155,1.92,37.9,236.6,101,200,99.9,113.2,843.4
 SRIKAKULAM, 2001-02,Kharif     ,178771,393654,2.2,46,127.3,87.8,217.9,153.7,180.6,940.1
 SRIKAKULAM, 2002-03,Kharif     ,153148,267550,1.75,37.4,108.2,104.3,212.1,71.9,48.9,743.5
 SRIKAKULAM, 2003-04,Kharif     ,188219,421799,2.24,,,,,,,1299
 SRIKAKULAM, 2004-05,Kharif     ,190795,448561,2.35,45.5,167.3,171.7,131.9,127,292.9,1042.8
 SRIKAKULAM, 2005-06,Kharif     ,153521,271425,1.77,48.4,93,150.4,161.9,423.4,144.2,1155.5
 SRIKAKULAM, 2006-07,Kharif     ,193994,491775,2.54,86.3,214.1,310.1,373.9,201.2,74.9,1358.5
 SRIKAKULAM, 2007-08,Kharif     ,201000,613000,3.05,87.2,363.9,106.5,176.4,314.4,148.4,1213.6
 SRIKAKULAM, 2008-09,Kharif     ,203172,408376,2.01,88,72.7,188.9,219.5,253.8,28.2,1047.9
 SRIKAKULAM, 2009-10,Kharif     ,177058,371822,2.1,26,99.3,215.9,162.5,145.4,122.6,874.3
 SRIKAKULAM, 2010-11,Kharif     ,205853,167482,0.81,172.7,142.1,236.8,263,207.9,333,1700.5
 SRIKAKULAM, 2011-12,Kharif     ,208239,399240,1.92,0.8,125.2,115.9,118.5,80.2,69.3,963
 SRIKAKULAM, 2012-13,Kharif     ,206000,521000,2.53,47.1,111.7,277.1,162.9,258,110.4,1289.2
 SRIKAKULAM, 2013-14,Kharif     ,199717,347108,1.74,21.6,168.4,178.6,86.3,194.7,659.7,1421.9
 SRIKAKULAM, 2014-15,Kharif     ,205485,434806,2.12,194.8,65.9,246.6,263.4,229.9,219.2,1274.3
 SRIKAKULAM, 2015-16,Kharif     ,204003,470320,2.31,21.3,208.5,136.1,194.6,211.6,56.9,952.4
 SRIKAKULAM, 2016-17,Kharif     ,203411,605174,2.98,189.6,185.9,155.8,111.3,293.9,103.6,1099.7
