District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 VISAKHAPATANAM, 1997-98,Kharif     ,95600,79700,0.83,5.3,42.1,251.5,163.4,289.7,73.6,1106.6
 VISAKHAPATANAM, 1998-99,Kharif     ,114900,141300,1.23,36.9,110.1,251.7,194.8,263.6,267,1394.2
 VISAKHAPATANAM, 1999-00,Kharif     ,103372,134010,1.3,56.4,147,110.4,255.3,134.9,164.5,875.3
 VISAKHAPATANAM, 2000-01,Kharif     ,115239,183345,1.59,43.2,306.3,168,312.6,134.7,144.5,1167.7
 VISAKHAPATANAM, 2001-02,Kharif     ,86579,145020,1.68,66.5,101.6,108.7,300.4,162.7,170.6,1076.8
 VISAKHAPATANAM, 2002-03,Kharif     ,61964,61344,0.99,23.6,111,116.6,272.4,48.5,129.7,835.574
 VISAKHAPATANAM, 2003-04,Kharif     ,84676,136836,1.62,,,,,,,
 VISAKHAPATANAM, 2004-05,Kharif     ,95187,160771,1.69,69.7,242.8,201.5,86.1,131.7,125.2,989.7
 VISAKHAPATANAM, 2005-06,Kharif     ,84808,125007,1.47,60.9,149.6,92.7,112.9,492.2,422.4,1490.4
 VISAKHAPATANAM, 2006-07,Kharif     ,93133,178070,1.91,102.1,148.4,138,343,234.7,151.6,1279.8
 VISAKHAPATANAM, 2007-08,Kharif     ,96000,195000,2.03,66.1,337.9,81.4,129.4,263.5,227,1130.3
 VISAKHAPATANAM, 2008-09,Kharif     ,99378,167253,1.68,56.5,81.8,131.7,174.5,183.9,48.1,906.8
 VISAKHAPATANAM, 2009-10,Kharif     ,65447,69112,1.06,24.3,94.9,132.7,92,171.6,116.9,734.3
 VISAKHAPATANAM, 2010-11,Kharif     ,110289,192378,1.74,173.1,156.3,321,167,188,203.5,1702.6
 VISAKHAPATANAM, 2011-12,Kharif     ,109505,166766,1.52,3.5,78,114.2,123.6,96.9,90.4,
 VISAKHAPATANAM, 2012-13,Kharif     ,99000,142000,1.43,30.9,64.1,152.4,178,280.5,133.9,1217.9
 VISAKHAPATANAM, 2013-14,Kharif     ,98637,171530,1.74,20.2,93.9,101.6,141.5,138.7,445.5,1082.5
 VISAKHAPATANAM, 2014-15,Kharif     ,98190,159755,1.63,109.1,65.6,136.1,239.7,146.8,330.8,1092.6
 VISAKHAPATANAM, 2015-16,Kharif     ,103090,219339,2.13,38.1,313.1,129.9,205,261.1,47.8,1210.3
 VISAKHAPATANAM, 2016-17,Kharif     ,105460,237203,2.25,160,189.3,207.8,148,284.2,95.4,1119.2
