District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 VIZIANAGARAM, 1997-98,Kharif     ,130500,185600,1.42,7.2,42.4,249.5,176.5,209.5,60.5,1013.8
 VIZIANAGARAM, 1998-99,Kharif     ,133000,295600,2.22,53.6,114.6,270.5,196.9,270.8,247.7,1421.1
 VIZIANAGARAM, 1999-00,Kharif     ,132185,250846,1.9,74,157.1,83.5,310.8,132.1,153.9,921.4
 VIZIANAGARAM, 2000-01,Kharif     ,129907,214347,1.65,38.5,265.5,139.4,266.6,115.9,130.2,1010.4
 VIZIANAGARAM, 2001-02,Kharif     ,106296,199624,1.88,57.2,112.4,141,303.2,164.1,151.9,1082.9
 VIZIANAGARAM, 2002-03,Kharif     ,93995,115426,1.23,35.6,115,136.2,283.7,61.5,60.1,874.9
 VIZIANAGARAM, 2003-04,Kharif     ,108694,228366,2.1,,,,,,,
 VIZIANAGARAM, 2004-05,Kharif     ,125205,291352,2.33,40.6,187.8,267.5,86.3,87.9,120.4,1034.5
 VIZIANAGARAM, 2005-06,Kharif     ,94336,131127,1.39,46.2,151.3,114,116.6,346.5,378.4,1336.5
 VIZIANAGARAM, 2006-07,Kharif     ,117452,281532,2.4,89.5,191,195.6,374.1,220.3,45.8,1273.4
 VIZIANAGARAM, 2007-08,Kharif     ,124000,362000,2.92,135.3,379.5,49.1,150.4,317.2,158.5,1224.7
 VIZIANAGARAM, 2008-09,Kharif     ,128964,307966,2.39,63.3,86.6,235.6,231.2,241.5,22,1069.3
 VIZIANAGARAM, 2009-10,Kharif     ,104550,229801,2.2,50.5,145.1,182.1,242.9,144.2,125,1032.4
 VIZIANAGARAM, 2010-11,Kharif     ,126290,325213,2.58,128.9,179.9,293,234,245.9,189.6,1647.9
 VIZIANAGARAM, 2011-12,Kharif     ,123491,265106,2.15,3.8,94.5,128,129.3,93.9,35.8,
 VIZIANAGARAM, 2012-13,Kharif     ,119000,307000,2.58,55,79.4,217.8,191.5,264.2,125.8,1296.9
 VIZIANAGARAM, 2013-14,Kharif     ,109271,270446,2.48,32,172.4,160.4,112.1,94,368.8,1028.3
 VIZIANAGARAM, 2014-15,Kharif     ,119229,314526,2.64,148.2,85.4,173.9,286.3,176.1,284.3,1204.4
 VIZIANAGARAM, 2015-16,Kharif     ,124275,366590,2.95,56.2,297.4,107,215,264.3,57.4,1072.3
 VIZIANAGARAM, 2016-17,Kharif     ,122205,371142,3.04,156.5,200.3,204.2,126.9,335.4,103.5,1151.2
