District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),May,June,July,August,September,October,ANNUAL
 WARANGAL, 1997-98,Kharif     ,43500,97300,2.24,9.7,33.4,196.5,156.1,149.1,77.8,787.8
 WARANGAL, 1998-99,Kharif     ,133300,376900,2.83,17,60.5,214.5,221.7,159.1,234.4,972.4
 WARANGAL, 1999-00,Kharif     ,132447,281450,2.13,55.5,67.2,156.1,183.1,134.2,59.3,662.9
 WARANGAL, 2000-01,Kharif     ,162922,464979,2.85,43.7,238.7,155.8,408.9,72.5,54,1018.6
 WARANGAL, 2001-02,Kharif     ,129975,369259,2.84,21.4,204.7,91.3,236.4,98.4,130.9,856.8
 WARANGAL, 2002-03,Kharif     ,109862,228074,2.08,35.6,149.5,91.4,203.2,49.4,90.3,666.3
 WARANGAL, 2003-04,Kharif     ,124333,381827,3.07,,,,,,,902.2
 WARANGAL, 2004-05,Kharif     ,108411,291842,2.69,45.5,78.4,292.1,222,124.8,96.1,934.7
 WARANGAL, 2005-06,Kharif     ,139319,440805,3.16,18.7,157.8,372.6,124.9,235.1,128.8,1051.8
 WARANGAL, 2006-07,Kharif     ,140255,408002,2.91,14.3,91.8,156.4,379.7,393.8,25.1,1229.8
 WARANGAL, 2007-08,Kharif     ,115000,354000,3.08,8.6,175.3,178.2,249.4,318.7,58.4,1030.2
 WARANGAL, 2008-09,Kharif     ,152852,459932,3.01,10.8,190.1,210.4,491.4,168.3,46.7,1326.6
 WARANGAL, 2009-10,Kharif     ,84342,209253,2.48,22,50.6,123.7,149.2,180.4,81.1,655.2
 WARANGAL, 2010-11,Kharif     ,169278,519314,3.07,56.2,119.5,499.3,223.7,280.3,99.7,1353.3
 WARANGAL, 2011-12,Kharif     ,160729,404520,2.52,27.9,87.3,112.6,121.7,82.4,8.9,861.5
 WARANGAL, 2012-13,Kharif     ,139000,438000,3.15,17.1,161.3,335.4,293.4,243.3,96.2,1231.9
 WARANGAL, 2013-14,Kharif     ,159311,501478,3.15,4.3,161.3,483,272,137.3,231.7,1386.3
 WARANGAL, 2014-15,Kharif     ,95515,282059,2.95,4.3,161.3,483,272,137.3,231.7,739.7
 WARANGAL, 2015-16,Kharif     ,127156,402403,3.16,105.6,53.9,172.1,201.7,118.3,29.5,980
 WARANGAL, 2016-17,Kharif     ,30358,104310,3.44,16.1,375.4,102.5,175.4,179.3,22.2,1156.5
